ScreenName,TweetText
1383427400009064450,Join with trade idea https://t.co/P6qFTFS0kf$TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB $SPY #stocks #TSLA #StockMarket #StocksToWatch https://t.co/c8goWmQUrK
1383426468970065922,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB $SPY #stocks #TSLA #StockMarket #StocksToWatch https://t.co/j0N6dSVIdC
1383398442827862018,$fslr benefits from China solar woes👇🏼 https://t.co/mnHjnPlv79
1383383876353941525,$GEVO's #RNG project may work with $CLNEhttps://t.co/9SRCyljn8q$AGRO $AMRC $AMTX $BE $BP $BEP #carbondioxide $CIG #cleanenergy #climatechange $CSIQ #diesel $DNNGY $DSSI $DQ $ENPH #environment $FSLR $GCTAY $GPP $GPRE #greenhousegas $IBDRY $ICLN $JKS $NEE $NEP $PEIX $REGI $REX
1383376443325894656,RT @Jemi19702552: To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $N…
1383376325390438403,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/qEl1qn7axD
1383350152358862849,SweepCast observed: $FSLR with Unusual Options Activity Alerted on $81 CALL Expiring: 04-30-2021 worth 90K🐂 |🎯 See Profile For Link - Delayed Feed Posted - Realtime on Platform 🎯 | https://t.co/bP6eRSBWyX
1383295616453730314,@jc_fslr lah 😠 it's a rap!!
1383289214578487297,Clean Energy ⚡ Stocks That Could Double or Triple in 2021! 🧹🧼 See the Names we've Analyzed! $FSR $FSLR $TSLA $NKLA .. could be any of these or something else :) #evstocks  #topstocks #beststocks https://t.co/kKCW5dwRJE
1383264035953516548,SweepCast observed: $FSLR with Unusual Options Activity Alerted on $81 CALL Expiring: 04-30-2021 worth 90K🐂 |🎯 See Profile For Link &amp; Learn About Unusual Options Activity 🎯 | https://t.co/peLi7uNoe4
1383209577597054979,RT @marketminute: Well that catch up ended quickly-I have traded $FSLR (made a little)  $SPWR (scratched) $TAN (scratched) so now after 3 t…
1383200945518022656,Long Watches: $HON  $AFMD  $FUBO  $MARA  $JPM! Short Watches: $JKS  $BILI  $FSLR  $NVDA  $BA!
1383198775389339648,$AAPL Apple Option Alert: Jan  2023 $110 Puts Sweep (34) near the midpoint: 501 @ $11.25 vs 30265 OI; Earnings 4/28 After Close Ref=$134.0674 [4/16/2021  10:57:33 AM] [+$500k Sweeps Above Midpoint] Other Sweeps on: $FSLR $TQQQ $XOP $CVX $BCOR $H $VLDR $AER $JKS $TAL $CFG $CTLT
1383192318597951489,$FSLR Bullish over 80. Check out volume today. Finally back. $ENPH Found some support but no signs of life yet $JKS I like over 38. $RUN Hoping that was capitulation yesterday and nice buying volume today  I like this one the best over 50. https://t.co/Df2XTYYxvZ
1383175953510125568,The Best Penny Stock App #pennystock #dogecoin$AMC$GME$DOGE-USD$NEE$ENPH$FSLR$SPWR$RUN$ACB$RBLX$PLTRhttps://t.co/Db3tsSIxUX https://t.co/GTZceQBbVS
1383167640408100869,RT @AJInsight: Chasing Infrastructure... $AEC  $AMAT  $APEI  $CNC  $DY  $EME  $FLR  $FSLR  $JEC  $MLM  $MOH  $MYRG  $OC  $PLTR  $PWR  $TSLA…
1383165133367693312,Large Print $FSLR Size: 335786 Price: 80.14 Time: 1707 Amount: $26 909 890.04
1383156405797064706,4/16 Daily vs avg volume % MCLCHigh side$pins 306% (-9.7%)$splk 283% (-9.5%)$fslr 247% (+3.8%)$qs 163% (-0.9%)$low 156% (+1.8%)Low side$snow 29% (-1.5%)$root 31% (-0.9%)$futu 33% (+3.3%)$se 38% (+0.9%)$chgg 43% (+0.5%)Median 69%https://t.co/SMx3HYRiTH
1383150197782540288,Roth Capital alternative energy analysts hold analyst/industry conference call$ARRY $CSIQ $DQ $FSLR $JKS $SHLS
1383148189176492033,Huge Print $FSLR Size: 3257884 Price: 80.14 Time: 1600 Amount: $261 086 823.76
1383146554261901320,Someone must have called all the "analysts" and said hey upgrade all renewables and fuel cell stocks- they have been shorted and down for too long  they might start to think something is up... $WKHS $FCEL $JKS $PLUG $FSLRJust remember.. 80% run &amp; drop and then FLAT under support https://t.co/K76IvY572Z
1383134859271364609,$fslr another nhod.... reports 4/29... super volatile on eps. https://t.co/Z9aXf9sd3s
1383127463853764616,FSLR : new target 68
1383122733970681856,RT @ScalpMaster1: Long Watches: $HON  $AFMD  $FUBO  $MARA  $JPM! Short Watches: $JKS  $BILI  $FSLR  $NVDA  $BA!
1383115598360502280,To enhance your experience in trading and get instant help click here  $TSLA $AMZN $ZM $NVDA $TLRY $BABA $BIDU $KERN $NFLX $FSLR $FUBO $PINS $PLUG $CRM $CRWD $ABNB#stocks #TSLA #StockMarket #StocksToWatch https://t.co/k0lx3ezNXA
